"Story","Title","Result","Date","Stability","Duration (s)"
"First student test","This is compromised test","COMPROMISED","2019-01-07T18:55:18.622+05:30[Asia/Calcutta]","0.0","12.55"
"First student test","This is a failing test","FAILURE","2019-01-07T18:55:36.331+05:30[Asia/Calcutta]","0.0","19.98"
"First student test","This is manual test","PENDING","2019-01-07T18:55:56.333+05:30[Asia/Calcutta]","0.0","4.09"
"First student test","This is ignored test","IGNORED","2019-01-07T18:56:00.421+05:30[Asia/Calcutta]","0.0","6.16"
"First student test","This is a pending test","PENDING","2019-01-07T18:56:06.588+05:30[Asia/Calcutta]","0.0","3.38"
"First student test","Get all students","SUCCESS","2019-01-07T18:56:09.965+05:30[Asia/Calcutta]","0.0","4.97"
"First student test","This is error test","ERROR","2019-01-07T18:56:14.948+05:30[Asia/Calcutta]","0.0","3.65"
