"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity ID info","This is compromised test","COMPROMISED","2019-01-07T18:56:48.224+05:30[Asia/Calcutta]","0.0","6.83"
"Serenity ID info","This is a failing test","FAILURE","2019-01-07T18:56:58.292+05:30[Asia/Calcutta]","0.0","15.2"
"Serenity ID info","This is manual test","PENDING","2019-01-07T18:57:13.502+05:30[Asia/Calcutta]","0.0","3.84"
"Serenity ID info","This is ignored test","IGNORED","2019-01-07T18:57:17.344+05:30[Asia/Calcutta]","0.0","4.5"
"Serenity ID info","This test will fetch all student details","FAILURE","2019-01-07T18:57:21.84+05:30[Asia/Calcutta]","0.0","2.93"
"Serenity ID info","This is a pending test","PENDING","2019-01-07T18:57:24.781+05:30[Asia/Calcutta]","0.0","5.11"
"Serenity ID info","Get all students","FAILURE","2019-01-07T18:57:29.893+05:30[Asia/Calcutta]","0.0","2.47"
"Serenity ID info","This is error test","ERROR","2019-01-07T18:57:32.377+05:30[Asia/Calcutta]","0.0","4.31"
